# Measured / literature QE(lambda) points for photonPropagation.
# Values are fractional QE, not percent.
# Interpolation in the MC is linear between measured points.
# Some photocathode datasets are sparse digitizations from published figures; see notes/source columns.
# Extra column group is for plotting only; photonPropagation can ignore it.
group,material,dataset,label,qe_model,interpolation,wavelength_nm,wavelength_label,photon_energy_ev,qe,work_function_ev,source_ref,source_title,source_url,notes
metal,Al,JLab_Table_7_1,Al polycrystalline measured,table_lambda,linear,213,213/209,5.8,8.4e-4,4.3,JLab_Table_7_1_refs_12_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 213/209 nm column
metal,Al,JLab_Table_7_1,Al polycrystalline measured,table_lambda,linear,266,262-266,4.7,3.2e-5,4.3,JLab_Table_7_1_refs_12_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 262-266 nm column
metal,Al,JLab_Table_7_1,Al polycrystalline measured,table_lambda,linear,355,355,3.5,3.4e-7,4.3,JLab_Table_7_1_refs_12_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Ag,JLab_Table_7_1,Ag activated under vacuum,table_lambda,linear,266,262-266,4.7,2.0e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Ag_activated
treated_metal,Ag_activated,JLab_Table_7_1,Ag activated under vacuum,table_lambda,linear,266,262-266,4.7,2.0e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
treated_metal,Ag_ArIon_annealed,JLab_Table_7_1,Ag Ar-ion cleaned and annealed,table_lambda,linear,266,262-266,4.7,8.4e-5,5.06,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Argon ion bombardment plus annealing at 250 C
metal,Au,JLab_Table_7_1,Au measured,table_lambda,linear,213,213/209,5.8,4.0e-4,5.1,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 213/209 nm column
metal,Au,JLab_Table_7_1,Au measured,table_lambda,linear,266,262-266,4.7,1.3e-5,5.1,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
treated_metal,Au_activated,JLab_Table_7_1,Au activated under vacuum,table_lambda,linear,266,262-266,4.7,4.7e-5,5.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Ca,JLab_Table_7_1,Ca measured,table_lambda,linear,248,248,5.0,4.0e-5,2.9,JLab_Table_7_1_ref_16,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Cu,JLab_Table_7_1,Cu polycrystalline measured,table_lambda,linear,193,193,6.4,2.0e-4,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Cu,JLab_Table_7_1,Cu polycrystalline measured,table_lambda,linear,213,213/209,5.8,1.5e-4,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 213/209 nm column
metal,Cu,JLab_Table_7_1,Cu polycrystalline measured,table_lambda,linear,266,262-266,4.7,2.2e-6,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 262-266 nm column
metal,Cu,JLab_Table_7_1,Cu polycrystalline measured,table_lambda,linear,308,308,4.0,1.6e-7,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Cu,JLab_Table_7_1,Cu polycrystalline measured,table_lambda,linear,355,355,3.5,8.0e-9,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
treated_metal,Cu_ArIon,JLab_Table_7_1,Cu argon-ion cleaned,table_lambda,linear,193,193,6.4,1.5e-3,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
treated_metal,Cu_ArIon,JLab_Table_7_1,Cu argon-ion cleaned,table_lambda,linear,213,213/209,5.8,4.2e-4,4.6,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment; 213/209 nm column
treated_metal,Cu_activated_annealed,JLab_Table_7_1,Cu activated and annealed,table_lambda,linear,266,262-266,4.7,1.4e-4,4.6,JLab_Table_7_1_refs_14_17_18,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum plus annealing
metal,Cu_248,JLab_Table_7_1,Cu measured at 248 nm,table_lambda,linear,248,248,5.0,5.0e-5,4.6,JLab_Table_7_1_refs_19_20,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Single measured table point
metal,Mg,JLab_Table_7_1,Mg measured low QE,table_lambda,linear,266,262-266,4.7,5.1e-5,3.7,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 262-266 nm column
metal,Mg_high,JLab_Table_7_1,Mg measured higher QE,table_lambda,linear,266,262-266,4.7,2.7e-4,3.7,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alternative measured table value
treated_metal,Mg_ATF,JLab_Table_7_1,Mg ATF BNL no surface treatment,table_lambda,linear,266,262-266,4.7,5.0e-4,3.7,JLab_Table_7_1_ref_21,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,ATF BNL measurements at 70 MV/m without surface treatment
treated_metal,Mg_ArIon,JLab_Table_7_1,Mg argon-ion cleaned,table_lambda,linear,266,262-266,4.7,1.7e-3,3.7,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
metal,Mo,JLab_Table_7_1,Mo upper-limit measured,table_lambda,linear,266,262-266,4.7,7.0e-7,4.6,JLab_Table_7_1_refs_12_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Upper-limit row printed as <7e-7; stored as 7e-7 ceiling value
metal,Mo_upper_limit,JLab_Table_7_1,Mo upper-limit measured,table_lambda,linear,266,262-266,4.7,7.0e-7,4.6,JLab_Table_7_1_refs_12_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Upper-limit row printed as <7e-7; stored as 7e-7 ceiling value
treated_metal,Mo_ArIon,JLab_Table_7_1,Mo argon-ion cleaned,table_lambda,linear,266,262-266,4.7,2.5e-6,4.6,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
metal,Nb,JLab_Table_7_1,Nb measured,table_lambda,linear,193,193,6.4,4.5e-4,4.3,JLab_Table_7_1_ref_22,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Nb,JLab_Table_7_1,Nb measured,table_lambda,linear,248,248,5.0,3.2e-6,4.3,JLab_Table_7_1_ref_22,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Nb_266,JLab_Table_7_1,Nb measured at 266 nm,table_lambda,linear,266,262-266,4.7,3.0e-6,4.3,JLab_Table_7_1_ref_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Single measured table point
treated_metal,Nb_ArIon,JLab_Table_7_1,Nb argon-ion cleaned,table_lambda,linear,266,262-266,4.7,1.9e-4,4.3,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
treated_metal,Nb_ArIon_annealed,JLab_Table_7_1,Nb argon-ion cleaned and annealed,table_lambda,linear,266,262-266,4.7,2.6e-4,4.3,JLab_Table_7_1_ref_18,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Argon ion bombardment plus annealing
metal,Ni,JLab_Table_7_1,Ni activated under vacuum,table_lambda,linear,266,262-266,4.7,2.5e-5,5.2,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Ni_activated
treated_metal,Ni_activated,JLab_Table_7_1,Ni activated under vacuum,table_lambda,linear,266,262-266,4.7,2.5e-5,5.2,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Pb,JLab_Table_7_1,Pb measured,table_lambda,linear,193,193,6.4,5.4e-3,3.88,JLab_Table_7_1_ref_7,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Pb,JLab_Table_7_1,Pb measured,table_lambda,linear,213,213/209,5.8,2.7e-3,3.88,JLab_Table_7_1_ref_7,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 213/209 nm column
treated_metal,Pb_ArIon,JLab_Table_7_1,Pb argon-ion cleaned,table_lambda,linear,266,262-266,4.7,2.2e-4,3.88,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
metal,Pd,JLab_Table_7_1,Pd activated under vacuum,table_lambda,linear,266,262-266,4.7,1.2e-5,5.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Pd_activated
treated_metal,Pd_activated,JLab_Table_7_1,Pd activated under vacuum,table_lambda,linear,266,262-266,4.7,1.2e-5,5.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,stainless_steel,JLab_Table_7_1,Ac 316 LN stainless steel measured,table_lambda,linear,213,213/209,5.8,9.0e-5,,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Ac 316 LN row; 213/209 nm column
metal,stainless_steel,JLab_Table_7_1,Ac 316 LN stainless steel measured,table_lambda,linear,266,262-266,4.7,1.6e-6,,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Ac 316 LN row; 262-266 nm column
metal,Ac316LN,JLab_Table_7_1,Ac 316 LN stainless steel measured,table_lambda,linear,213,213/209,5.8,9.0e-5,,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for stainless_steel
metal,Ac316LN,JLab_Table_7_1,Ac 316 LN stainless steel measured,table_lambda,linear,266,262-266,4.7,1.6e-6,,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for stainless_steel
metal,Sm,JLab_Table_7_1,Sm measured,table_lambda,linear,308,308,4.0,1.6e-6,2.7,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
treated_metal,Sm_activated,JLab_Table_7_1,Sm activated under vacuum,table_lambda,linear,266,262-266,4.7,7.3e-4,2.7,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Ta,JLab_Table_7_1,Ta activated under vacuum,table_lambda,linear,266,262-266,4.7,1.0e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Ta_activated
treated_metal,Ta_activated,JLab_Table_7_1,Ta activated under vacuum,table_lambda,linear,266,262-266,4.7,1.0e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Tb,JLab_Table_7_1,Tb activated under vacuum,table_lambda,linear,266,262-266,4.7,2.3e-4,3.0,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Tb_activated
treated_metal,Tb_activated,JLab_Table_7_1,Tb activated under vacuum,table_lambda,linear,266,262-266,4.7,2.3e-4,3.0,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Ti,JLab_Table_7_1,Ti measured,table_lambda,linear,266,262-266,4.7,6.0e-6,4.33,JLab_Table_7_1_ref_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 262-266 nm column
metal,Titanium,JLab_Table_7_1,Titanium measured,table_lambda,linear,266,262-266,4.7,6.0e-6,4.33,JLab_Table_7_1_ref_13,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Ti
treated_metal,Ti_ArIon,JLab_Table_7_1,Ti argon-ion cleaned,table_lambda,linear,266,262-266,4.7,3.3e-4,,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
metal,V,JLab_Table_7_1,V argon-ion cleaned and annealed,table_lambda,linear,266,262-266,4.7,1.0e-5,,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for V_ArIon_annealed
treated_metal,V_ArIon_annealed,JLab_Table_7_1,V argon-ion cleaned and annealed,table_lambda,linear,266,262-266,4.7,1.0e-5,,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Argon ion bombardment plus annealing
metal,W,JLab_Table_7_1,W(111) high-field assisted,table_lambda,linear,355,355,3.5,2.0e-5,4.5,JLab_Table_7_1_ref_23,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for W_111_highfield
treated_metal,W_111_highfield,JLab_Table_7_1,W(111) high-field assisted,table_lambda,linear,355,355,3.5,2.0e-5,4.5,JLab_Table_7_1_ref_23,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Photoemission assisted by high electric field E=3 GV/m
treated_metal,WK_implanted,JLab_Table_7_1,K-implanted W measured,table_lambda,linear,308,308,4.0,1.2e-5,2.8,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Potassium ions implanted in tungsten substrate
metal,Y,JLab_Table_7_1,Y measured activated-like value,table_lambda,linear,266,262-266,4.7,5.0e-4,3.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
metal,Y_low,JLab_Table_7_1,Y measured low QE,table_lambda,linear,266,262-266,4.7,2.7e-6,3.1,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value; 262-266 nm column
metal,Y_low,JLab_Table_7_1,Y measured low QE,table_lambda,linear,308,308,4.0,1.1e-6,3.1,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Measured table value
treated_metal,Y_ArIon,JLab_Table_7_1,Y argon-ion cleaned,table_lambda,linear,266,262-266,4.7,1.8e-4,3.1,JLab_Table_7_1_ref_12,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
treated_metal,Y_activated,JLab_Table_7_1,Y activated under vacuum,table_lambda,linear,266,262-266,4.7,5.0e-4,3.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Zn,JLab_Table_7_1,Zn activated under vacuum,table_lambda,linear,266,262-266,4.7,1.4e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Zn_activated
treated_metal,Zn_activated,JLab_Table_7_1,Zn activated under vacuum,table_lambda,linear,266,262-266,4.7,1.4e-5,4.3,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
metal,Zr,JLab_Table_7_1,Zr activated under vacuum,table_lambda,linear,266,262-266,4.7,1.0e-5,4.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Alias for Zr_activated
treated_metal,Zr_activated,JLab_Table_7_1,Zr activated under vacuum,table_lambda,linear,266,262-266,4.7,1.0e-5,4.1,JLab_Table_7_1_ref_14,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Surface preparation and activation under vacuum
treated_metal,Zr_ArIon,JLab_Table_7_1,Zr argon-ion cleaned,table_lambda,linear,266,262-266,4.7,2.9e-4,,JLab_Table_7_1_ref_15,Quantum Efficiency of polycrystalline metallic photocathodes,https://wiki.jlab.org/ciswiki/images/5/56/Chapter_7.pdf,Cleaning by argon ion bombardment
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,160,160,7.749,0.015,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,170,170,7.293,0.06,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,180,180,6.888,0.11,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,190,190,6.525,0.17,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,200,200,6.199,0.21,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsI,CsI_Rai2014,CsI absolute QE,table_lambda,linear,210,210,5.904,0.22,,Rai2014_CsI,Absolute Quantum Efficiency Measurement of CsI photocathodes in VUV region,https://arxiv.org/pdf/1409.5290,Approximate absolute QE points in the VUV; sparse subset for MC use
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,180,180,6.888,0.03,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,200,200,6.199,0.09,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,220,220,5.636,0.13,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,240,240,5.166,0.15,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,260,260,4.769,0.12,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,280,280,4.428,0.07,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,300,300,4.133,0.03,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
